RataRata_Edukasi_Dewasa,SQBmeaned,SQBdependency,SQBovercrowding,Jumlah_HP,SQBedjefe,Tingkat_Kepadatan_Penghuni,SQBhogar_nin,Jumlah_Ruangan,Umur,Jumlah_Anak_0_19,SQBage,agesq,Jumlah_Dewasa,Sewa_Rumah_Bulanan,Total_Individu_Keluarga,Jumlah_Orang_Tinggal_DiRumah,Lama_Sekolah_Tahun,SQBescolari,SQBhogar_total,Punya_Plafon,Dinding_Bata,Kualitas_Lantai_Baik,Kualitas_Atap_Baik,Kualitas_Dinding_Baik,Lantai_Keramik,Masak_Gas,Masak_Listrik,Area_Pedesaan,Area_Perkotaan,Rumah_Milik_Sendiri_Lunas,Punya_TV,Kualitas_Atap_Sedang,Dinding_Semen_Prefab,Kualitas_Dinding_Sedang,Jumlah_Lansia_65Plus,Tingkat_Kemiskinan
13.5,182.25,0.0,1.0,2,225,1.0,0,4,26,0,676,676,2,215000.0,2,2,15,225,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4
10.0,100.0,64.0,4.0,1,16,2.0,0,3,69,0,4761,4761,2,150000.0,2,2,4,16,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4
10.0,100.0,64.0,4.0,1,16,2.0,0,3,66,0,4356,4356,2,150000.0,2,2,16,256,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4
10.333333,106.77777,0.0,9.0,3,36,3.0,0,1,41,0,1681,1681,3,100000.0,3,3,6,36,9,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
10.333333,106.77777,0.0,9.0,3,36,3.0,0,1,20,0,400,400,3,100000.0,3,3,13,169,9,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
10.333333,106.77777,0.0,9.0,3,36,3.0,0,1,40,0,1600,1600,3,100000.0,3,3,12,144,9,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
15.0,225.0,0.0,0.25,2,225,0.5,0,5,44,0,1936,1936,1,130000.0,1,1,15,225,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,4
6.6666665,44.444443,0.25,2.25,3,36,1.5,0,4,69,0,4761,4761,3,120000.0,3,3,6,36,9,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
6.6666665,44.444443,0.25,2.25,3,36,1.5,0,4,62,0,3844,3844,3,120000.0,3,3,6,36,9,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
6.6666665,44.444443,0.25,2.25,3,36,1.5,0,4,33,0,1089,1089,3,120000.0,3,3,8,64,9,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
9.5,90.25,0.0,1.0,2,64,1.0,0,5,35,0,1225,1225,2,100000.0,2,2,8,64,4,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,4
9.5,90.25,0.0,1.0,2,64,1.0,0,5,28,0,784,784,2,100000.0,2,2,11,121,4,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,4
5.25,27.5625,0.0625,2.7777777,3,121,1.6666666,1,5,28,1,784,784,4,130000.0,5,5,1,1,25,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
5.25,27.5625,0.0625,2.7777777,3,121,1.6666666,1,5,56,1,3136,3136,4,130000.0,5,5,11,121,25,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
5.25,27.5625,0.0625,2.7777777,3,121,1.6666666,1,5,30,1,900,900,4,130000.0,5,5,6,36,25,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
5.25,27.5625,0.0625,2.7777777,3,121,1.6666666,1,5,19,1,361,361,4,130000.0,5,5,0,0,25,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
5.25,27.5625,0.0625,2.7777777,3,121,1.6666666,1,5,52,1,2704,2704,4,130000.0,5,5,3,9,25,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
7.0,49.0,0.25,2.25,2,64,1.5,1,4,36,1,1296,1296,2,80000.0,3,3,6,36,9,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4
7.0,49.0,0.25,2.25,2,64,1.5,1,4,15,1,225,225,2,80000.0,3,3,8,64,9,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4
7.0,49.0,0.25,2.25,2,64,1.5,1,4,37,1,1369,1369,2,80000.0,3,3,8,64,9,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4
11.0,121.0,0.0,1.0,2,0,1.0,0,5,44,0,1936,1936,2,90000.0,2,2,9,81,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
11.0,121.0,0.0,1.0,2,0,1.0,0,5,24,0,576,576,2,90000.0,2,2,13,169,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
15.5,240.25,4.0,1.0,3,0,1.0,1,8,15,1,225,225,2,130000.0,3,3,8,64,9,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,4
15.5,240.25,4.0,1.0,3,0,1.0,1,8,76,1,5776,5776,2,130000.0,3,3,15,225,9,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,4
15.5,240.25,4.0,1.0,3,0,1.0,1,8,44,1,1936,1936,2,130000.0,3,3,16,256,9,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,4
10.0,100.0,64.0,1.0,1,289,1.0,0,4,69,0,4761,4761,2,130000.0,2,2,17,289,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,4
10.0,100.0,64.0,1.0,1,289,1.0,0,4,94,0,8836,8836,2,130000.0,2,2,3,9,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,4
13.5,182.25,0.25,2.25,2,121,1.5,1,5,45,1,2025,2025,2,130000.0,3,3,16,256,9,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
13.5,182.25,0.25,2.25,2,121,1.5,1,5,8,1,64,64,2,130000.0,3,3,2,4,9,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
13.5,182.25,0.25,2.25,2,121,1.5,1,5,48,1,2304,2304,2,130000.0,3,3,11,121,9,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,4
11.0,121.0,1.0,4.0,2,121,2.0,4,5,8,2,64,64,2,120000.0,4,4,2,4,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,2
11.0,121.0,1.0,4.0,2,121,2.0,4,5,44,2,1936,1936,2,120000.0,4,4,11,121,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,2
11.0,121.0,1.0,4.0,2,121,2.0,4,5,14,2,196,196,2,120000.0,4,4,8,64,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,2
11.0,121.0,1.0,4.0,2,121,2.0,4,5,42,2,1764,1764,2,120000.0,4,4,11,121,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,2
9.0,81.0,1.0,1.7777779,2,0,1.3333334,4,5,13,2,169,169,2,168000.0,4,4,6,36,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
9.0,81.0,1.0,1.7777779,2,0,1.3333334,4,5,10,2,100,100,2,168000.0,4,4,2,4,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
9.0,81.0,1.0,1.7777779,2,0,1.3333334,4,5,37,2,1369,1369,2,168000.0,4,4,7,49,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
9.0,81.0,1.0,1.7777779,2,0,1.3333334,4,5,36,2,1296,1296,2,168000.0,4,4,11,121,16,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4
7.0,49.0,64.0,1.0,0,49,1.0,0,1,71,0,5041,5041,1,40000.0,1,1,7,49,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,2
10.0,100.0,0.0,4.0,2,0,2.0,0,3,30,0,900,900,2,155000.0,2,2,14,196,4,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
10.0,100.0,0.0,4.0,2,0,2.0,0,3,29,0,841,841,2,155000.0,2,2,6,36,4,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
13.0,169.0,0.25,1.0,3,0,1.0,0,6,55,0,3025,3025,3,130000.0,3,3,14,196,9,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
13.0,169.0,0.25,1.0,3,0,1.0,0,6,70,0,4900,4900,3,130000.0,3,3,11,121,9,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
13.0,169.0,0.25,1.0,3,0,1.0,0,6,26,0,676,676,3,130000.0,3,3,14,196,9,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
9.0,81.0,64.0,0.11111112,1,0,0.33333334,0,6,71,0,5041,5041,1,130000.0,1,1,9,81,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,2
9.0,81.0,0.44444448,6.25,5,81,2.5,4,3,30,2,900,900,3,200000.0,5,5,9,81,25,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,4
9.0,81.0,0.44444448,6.25,5,81,2.5,4,3,11,2,121,121,3,200000.0,5,5,5,25,25,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,4
9.0,81.0,0.44444448,6.25,5,81,2.5,4,3,1,2,1,1,3,200000.0,5,5,0,0,25,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,4
9.0,81.0,0.44444448,6.25,5,81,2.5,4,3,29,2,841,841,3,200000.0,5,5,9,81,25,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,4
9.0,81.0,0.44444448,6.25,5,81,2.5,4,3,60,2,3600,3600,3,200000.0,5,5,9,81,25,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,4
14.0,196.0,1.0,4.0,2,225,2.0,1,6,7,1,49,49,3,130000.0,4,4,0,0,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
14.0,196.0,1.0,4.0,2,225,2.0,1,6,40,1,1600,1600,3,130000.0,4,4,15,225,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
14.0,196.0,1.0,4.0,2,225,2.0,1,6,45,1,2025,2025,3,130000.0,4,4,15,225,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
14.0,196.0,1.0,4.0,2,225,2.0,1,6,74,1,5476,5476,3,130000.0,4,4,12,144,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
16.5,272.25,0.25,1.0,4,256,1.0,1,6,57,1,3249,3249,2,350000.0,3,3,16,256,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
16.5,272.25,0.25,1.0,4,256,1.0,1,6,17,1,289,289,2,350000.0,3,3,10,100,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
16.5,272.25,0.25,1.0,4,256,1.0,1,6,40,1,1600,1600,2,350000.0,3,3,17,289,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.0,196.0,0.25,1.0,2,0,1.0,1,6,41,1,1681,1681,2,270000.0,3,3,14,196,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.0,196.0,0.25,1.0,2,0,1.0,1,6,8,1,64,64,2,270000.0,3,3,1,1,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.0,196.0,0.25,1.0,2,0,1.0,1,6,44,1,1936,1936,2,270000.0,3,3,14,196,9,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.333333,205.44444,0.0,0.5625,3,0,0.75,0,7,60,0,3600,3600,3,300000.0,3,3,13,169,9,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.333333,205.44444,0.0,0.5625,3,0,0.75,0,7,29,0,841,841,3,300000.0,3,3,15,225,9,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
14.333333,205.44444,0.0,0.5625,3,0,0.75,0,7,31,0,961,961,3,300000.0,3,3,15,225,9,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,4
9.333333,87.111107,4.0,1.0,2,36,1.0,0,5,42,0,1764,1764,3,250000.0,3,3,11,121,9,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,2,4
9.333333,87.111107,4.0,1.0,2,36,1.0,0,5,67,0,4489,4489,3,250000.0,3,3,6,36,9,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,2,4
9.333333,87.111107,4.0,1.0,2,36,1.0,0,5,70,0,4900,4900,3,250000.0,3,3,11,121,9,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,2,4
6.5,42.25,1.0,1.0,1,0,1.0,0,4,89,0,7921,7921,2,130000.0,2,2,0,0,4,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,4
6.5,42.25,1.0,1.0,1,0,1.0,0,4,55,0,3025,3025,2,130000.0,2,2,13,169,4,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,4
12.0,144.0,1.0,1.7777779,4,0,1.3333334,4,4,40,2,1600,1600,2,130000.0,4,4,9,81,16,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
12.0,144.0,1.0,1.7777779,4,0,1.3333334,4,4,17,2,289,289,2,130000.0,4,4,9,81,16,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
12.0,144.0,1.0,1.7777779,4,0,1.3333334,4,4,15,2,225,225,2,130000.0,4,4,8,64,16,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
12.0,144.0,1.0,1.7777779,4,0,1.3333334,4,4,39,2,1521,1521,2,130000.0,4,4,15,225,16,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
11.0,121.0,64.0,0.25,1,0,0.5,0,4,66,0,4356,4356,1,130000.0,1,1,11,121,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,4
6.0,36.0,0.44444448,6.25,4,0,2.5,4,4,35,2,1225,1225,3,130000.0,5,5,6,36,25,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
6.0,36.0,0.44444448,6.25,4,0,2.5,4,4,13,2,169,169,3,130000.0,5,5,6,36,25,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
6.0,36.0,0.44444448,6.25,4,0,2.5,4,4,59,2,3481,3481,3,130000.0,5,5,4,16,25,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
6.0,36.0,0.44444448,6.25,4,0,2.5,4,4,4,2,16,16,3,130000.0,5,5,0,0,25,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
6.0,36.0,0.44444448,6.25,4,0,2.5,4,4,30,2,900,900,3,130000.0,5,5,8,64,25,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
8.0,64.0,4.0,9.0,1,0,3.0,4,3,38,2,1444,1444,1,100000.0,3,3,8,64,9,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,4
8.0,64.0,4.0,9.0,1,0,3.0,4,3,15,2,225,225,1,100000.0,3,3,7,49,9,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,4
8.0,64.0,4.0,9.0,1,0,3.0,4,3,17,2,289,289,1,100000.0,3,3,9,81,9,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,4
14.0,196.0,0.25,1.0,3,0,1.0,1,6,46,1,2116,2116,2,130000.0,3,3,11,121,9,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
14.0,196.0,0.25,1.0,3,0,1.0,1,6,43,1,1849,1849,2,130000.0,3,3,17,289,9,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
14.0,196.0,0.25,1.0,3,0,1.0,1,6,10,1,100,100,2,130000.0,3,3,3,9,9,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
11.0,121.0,0.25,2.25,2,0,1.5,1,4,11,1,121,121,2,130000.0,3,3,4,16,9,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,4
11.0,121.0,0.25,2.25,2,0,1.5,1,4,22,1,484,484,2,130000.0,3,3,11,121,9,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,4
11.0,121.0,0.25,2.25,2,0,1.5,1,4,44,1,1936,1936,2,130000.0,3,3,11,121,9,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,4
6.0,36.0,64.0,0.11111112,1,0,0.33333334,0,5,79,0,6241,6241,1,130000.0,1,1,6,36,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,4
4.0,16.0,64.0,0.0625,1,16,0.25,0,6,75,0,5625,5625,1,130000.0,1,1,4,16,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,4
6.0,36.0,1.0,0.44444448,0,0,0.66666669,0,5,78,0,6084,6084,2,130000.0,2,2,4,16,4,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
6.0,36.0,1.0,0.44444448,0,0,0.66666669,0,5,53,0,2809,2809,2,130000.0,2,2,8,64,4,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,18,2,324,324,4,200000.0,6,6,7,49,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,67,2,4489,4489,4,200000.0,6,6,14,196,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,44,2,1936,1936,4,200000.0,6,6,6,36,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,63,2,3969,3969,4,200000.0,6,6,8,64,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,20,2,400,400,4,200000.0,6,6,11,121,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
11.5,132.25,1.0,4.0,4,196,2.0,4,5,1,2,1,1,4,200000.0,6,6,0,0,36,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,4
13.0,169.0,0.11111112,1.0,4,225,1.0,1,7,51,1,2601,2601,3,130000.0,4,4,11,121,16,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,4
13.0,169.0,0.11111112,1.0,4,225,1.0,1,7,13,1,169,169,3,130000.0,4,4,6,36,16,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,4
13.0,169.0,0.11111112,1.0,4,225,1.0,1,7,55,1,3025,3025,3,130000.0,4,4,15,225,16,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,4
13.0,169.0,0.11111112,1.0,4,225,1.0,1,7,29,1,841,841,3,130000.0,4,4,13,169,16,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,4
9.0,81.0,0.0625,2.7777777,3,0,1.6666666,0,5,21,0,441,441,5,130000.0,5,5,14,196,25,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2
9.0,81.0,0.0625,2.7777777,3,0,1.6666666,0,5,47,0,2209,2209,5,130000.0,5,5,8,64,25,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2
9.0,81.0,0.0625,2.7777777,3,0,1.6666666,0,5,49,0,2401,2401,5,130000.0,5,5,9,81,25,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2
9.0,81.0,0.0625,2.7777777,3,0,1.6666666,0,5,68,0,4624,4624,5,130000.0,5,5,0,0,25,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2
9.0,81.0,0.0625,2.7777777,3,0,1.6666666,0,5,21,0,441,441,5,130000.0,5,5,14,196,25,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2
12.75,162.5625,9.0,1.0,3,289,1.0,0,7,42,0,1764,1764,4,130000.0,4,4,17,289,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,3,4
12.75,162.5625,9.0,1.0,3,289,1.0,0,7,73,0,5329,5329,4,130000.0,4,4,11,121,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,3,4
12.75,162.5625,9.0,1.0,3,289,1.0,0,7,75,0,5625,5625,4,130000.0,4,4,17,289,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,3,4
12.75,162.5625,9.0,1.0,3,289,1.0,0,7,97,0,9409,9409,4,130000.0,4,4,6,36,16,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,3,4
9.5,90.25,1.0,4.0,5,100,2.0,4,5,7,2,49,49,2,260000.0,4,6,1,1,16,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
9.5,90.25,1.0,4.0,5,100,2.0,4,5,33,2,1089,1089,2,260000.0,4,6,9,81,16,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
9.5,90.25,1.0,4.0,5,100,2.0,4,5,34,2,1156,1156,2,260000.0,4,6,10,100,16,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
9.5,90.25,1.0,4.0,5,100,2.0,4,5,13,2,169,169,2,260000.0,4,6,6,36,16,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,4
12.5,156.25,64.0,0.44444448,2,0,0.66666669,0,6,70,0,4900,4900,2,130000.0,2,2,14,196,4,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2,4
12.5,156.25,64.0,0.44444448,2,0,0.66666669,0,6,72,0,5184,5184,2,130000.0,2,2,11,121,4,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,2,4
13.5,182.25,1.0,1.7777779,2,0,1.3333334,4,6,6,2,36,36,2,564834.0,4,4,0,0,16,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,4
13.5,182.25,1.0,1.7777779,2,0,1.3333334,4,6,38,2,1444,1444,2,564834.0,4,4,12,144,16,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,4
13.5,182.25,1.0,1.7777779,2,0,1.3333334,4,6,5,2,25,25,2,564834.0,4,4,0,0,16,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,4
13.5,182.25,1.0,1.7777779,2,0,1.3333334,4,6,42,2,1764,1764,2,564834.0,4,4,15,225,16,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,4
7.0,49.0,1.0,0.44444448,2,0,0.66666669,1,5,10,1,100,100,1,270000.0,2,2,3,9,4,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,3
7.0,49.0,1.0,0.44444448,2,0,0.66666669,1,5,49,1,2401,2401,1,270000.0,2,2,7,49,4,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,3
5.5,30.25,0.0,4.0,2,0,2.0,0,1,58,0,3364,3364,2,130000.0,2,2,6,36,4,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,4
5.5,30.25,0.0,4.0,2,0,2.0,0,1,49,0,2401,2401,2,130000.0,2,2,5,25,4,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,4
7.7777777,60.493824,0.0625,25.0,5,0,5.0,1,3,18,1,324,324,9,130000.0,10,10,6,36,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
7.7777777,60.493824,0.0625,25.0,5,0,5.0,1,3,52,1,2704,2704,9,130000.0,10,10,6,36,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
